URL,Size,Outlinks,Content-Type
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=6529&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,18854,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=22351&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,20351,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=6460&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,19270,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=6638&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,20385,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=6639&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,19136,71,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=12772&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,18698,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=26962&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,21616,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=41108&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,20357,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=4603&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,19005,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=36406&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,21283,72,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=38009&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,24196,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=13685&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,19876,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=28811&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,17817,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=26961&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,18922,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=41107&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,17812,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=33665&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,17855,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=33666&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,21533,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=33661&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,17859,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=2&first&id=33662&last&referer=%2Fanimation%2Ffaculty.cfm&startpage=1&startrow=1&title,21383,71,text/html;charset=UTF-8
http://cinema.usc.edu/summer/classes.cfm?s=b,22969,83,text/html;charset=UTF-8
http://cinema.usc.edu/summer/classes.cfm?s=c,21332,82,text/html;charset=UTF-8
http://cinema.usc.edu/summer/classes.cfm?s=f,30457,99,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=26960&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=31&title,18564,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=26212&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=31&title,18683,71,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6460&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=31&title,19274,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=4495&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=31&title,17798,70,text/html;charset=UTF-8
http://cinema.usc.edu/directories/profile.cfm?did=50&first&id=38017&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=31&title,18402,70,text/html;charset=UTF-8
